Ronda;Maximo;Minimo;Promedio
Inicial;8.876556155964932e-10;1.26318200926375e-10;4.740095556672664e-10
0;8.876556155964932e-10;3.6904954248175013e-10;5.323400456932952e-10
1;8.876556155964932e-10;3.6904954248175013e-10;5.39755514100763e-10
2;8.876556155964932e-10;3.6904954248175013e-10;5.454620559149176e-10
3;8.876556155964932e-10;3.6904954248175013e-10;5.472852236474517e-10
4;8.876556155964932e-10;3.6904954248175013e-10;5.890675462466603e-10
5;8.876556155964932e-10;3.6904954248175013e-10;5.959631882819034e-10
6;8.876556155964932e-10;3.6904954248175013e-10;5.915279453620489e-10
7;8.876556155964932e-10;3.6904954248175013e-10;5.883619233859412e-10
8;8.876556155964932e-10;3.6904954248175013e-10;5.953636324078876e-10
9;8.876556155964932e-10;3.6904954248175013e-10;6.020319267145034e-10
10;8.876556155964932e-10;3.6904954248175013e-10;6.08674338083852e-10
11;8.876556155964932e-10;3.6904954248175013e-10;6.097954627538845e-10
12;8.876556155964932e-10;3.6904954248175013e-10;6.022237069025399e-10
13;8.876556155964932e-10;3.6904954248175013e-10;5.929328048494651e-10
14;8.876556155964932e-10;3.6904954248175013e-10;5.929328048494651e-10
15;8.876556155964932e-10;3.6904954248175013e-10;5.99002463381643e-10
16;8.876556155964932e-10;3.6904954248175013e-10;5.99002463381643e-10
17;8.876556155964932e-10;3.6904954248175013e-10;5.99002463381643e-10
18;8.876556155964932e-10;3.6904954248175013e-10;5.99002463381643e-10
19;8.876556155964932e-10;3.6904954248175013e-10;5.99002463381643e-10
